id_geneset_name	meta_source	meta_publication	gene_symbol
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	RSAD2
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	SIGLEC1
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	SLC15A3
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	SLC2A6
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	SLCO5A1
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	ST3GAL6
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	TMEM255A
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	TNFAIP6
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	TNFRSF11A
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	TNFRSF4
cibersort_leukocyte_signature_lm22_dendritic_cells_activated_25822800	cibersort	25822800	TREM2
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	ACP5
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	AIF1
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	ALOX15
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	C1orf54
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	CCDC102B
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	CCL13
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	CCL17
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	CCL18
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	CCL22
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	CD1A
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	CD1B
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	CD1C
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	CD1E
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	CD209
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	CD33
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	CD68
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	CLEC10A
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	CLEC4A
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	CLEC7A
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	CLIC2
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	DHRS11
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	EGR2
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	FAM198B
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	FCER1A
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	FCER2
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	FLVCR2
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	FPR3
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	FZD2
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	HLA-DQA1
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	IGSF6
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	MMP12
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	NCF2
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	PLA2G7
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	PPFIBP1
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	RNASE6
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	SCN9A
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	SLAMF8
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	SLC15A3
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	TMEM255A
cibersort_leukocyte_signature_lm22_dendritic_cells_resting_25822800	cibersort	25822800	TREM2
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	ADGRE1
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	ADGRE2
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	ADGRE3
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	ADGRG3
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	ALOX15
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	BANK1
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	BCL2A1
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	BPI
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	C3AR1
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	C5AR2
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	CD244
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	CLC
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	DACH1
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	DAPK2
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	DEPDC5
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	DPEP2
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	EPN2
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	FFAR2
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	GIPR
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	GPR183
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	GPR65
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	IL18R1
cibersort_leukocyte_signature_lm22_eosinophils_25822800	cibersort	25822800	IL18RAP
