"cluster_gr"	"annot"
"SCD5"	"30"	"S_31"
"TRIM67"	"1"	"S_1"
"EVPL"	"1"	"S_1"
"PHYHD1"	"30"	"S_31"
"GP6"	"30"	"S_31"
"NAAA"	"17"	"S_9"
"KCNH3"	"47"	"S_22"
"CAPN12"	"6"	"S_5"
"ALK"	"36"	"S_15"
"LINC00200"	"36"	"S_15"
"ANKRD53"	"26"	"S_25"
"ARHGAP24"	"15"	"S_8"
"TNFRSF10C"	"17"	"S_9"
"SIRPD"	"17"	"S_9"
"C14orf105"	"30"	"S_31"
"POLA1"	"58"	"S_28"
"RAB36"	"30"	"S_31"
"CCDC68"	"20"	"S_10"
"KIF5A"	"36"	"S_15"
"SHD"	"26"	"S_25"
"ZNF785"	"30"	"S_31"
"TCF7"	"49"	"S_19"
"ADAMTS14"	"6"	"S_5"
"LILRA2"	"17"	"S_9"
"TMEM8B"	"26"	"S_25"
"RRH"	"26"	"S_25"
"DAPP1"	"2"	"S_2"
"FAM49A"	"17"	"S_9"
"GRIK4"	"47"	"S_22"
"ST6GAL1"	"5"	"S_4"
"NAPSA"	"2"	"S_2"
"TPD52"	"5"	"S_4"
"ARHGEF15"	"20"	"S_10"
"QRICH2"	"26"	"S_25"
"CCNF"	"34"	"S_14"
"CEACAM4"	"17"	"S_9"
"MCM10"	"58"	"S_28"
"AARS2"	"30"	"S_31"
"PAX5"	"15"	"S_8"
"ERG"	"20"	"S_10"
"PID1"	"17"	"S_9"
"KIAA0922"	"24"	"S_11"
"CTTN"	"33"	"S_13"
"GIPC2"	"20"	"S_10"
"CD276"	"42"	"S_17"
"PBXIP1"	"70"	"S_26"
"MS4A14"	"17"	"S_9"
"TSLP"	"1"	"S_1"
"CLDN15"	"20"	"S_10"
"SLCO5A1"	"47"	"S_22"
"MIR645"	"27"	"S_12"
"RGS18"	"17"	"S_9"
"HELLS"	"58"	"S_28"
"FGD2"	"2"	"S_2"
"OR7D2"	"30"	"S_31"
"HLA-DQB2"	"2"	"S_2"
"COX6B2"	"30"	"S_31"
"EPHX3"	"26"	"S_25"
"MYBL1"	"6"	"S_5"
"CYBRD1"	"42"	"S_17"
"CNTD2"	"1"	"S_1"
"CTNNAL1"	"106"	"S_30"
"IGSF9"	"1"	"S_1"
"SMPD3"	"26"	"S_25"
"ENTPD7"	"26"	"S_25"
"CD300LB"	"17"	"S_9"
"COL4A3"	"15"	"S_8"
"ARHGAP8"	"6"	"S_5"
"TREML4"	"26"	"S_25"
"ABCB4"	"15"	"S_8"
"COBLL1"	"15"	"S_8"
"RALGAPA2"	"20"	"S_10"
"DENND3"	"2"	"S_2"
"IGFN1"	"6"	"S_5"
"LRFN1"	"6"	"S_5"
"CPNE5"	"5"	"S_4"
"CENPV"	"36"	"S_15"
"TBC1D9"	"2"	"S_2"
"FAM72D"	"34"	"S_14"
"MYBPH"	"65"	"S_23"
"CLRN1"	"1"	"S_1"
"RNF17"	"36"	"S_15"
"HPD"	"26"	"S_25"
"INHBB"	"20"	"S_10"
"FAM84A"	"36"	"S_15"
"SORCS3"	"1"	"S_1"
"ZNF665"	"30"	"S_31"
"NCAN"	"1"	"S_1"
"GRIA1"	"1"	"S_1"
"SLC12A8"	"30"	"S_31"
"PTCHD4"	"30"	"S_31"
"CMBL"	"30"	"S_31"
"ACTN2"	"36"	"S_15"
"APC2"	"26"	"S_25"
"PAX6"	"1"	"S_1"
"TLX2"	"36"	"S_15"
"TCL1B"	"26"	"S_25"
"CELF4"	"1"	"S_1"
"DDN"	"65"	"S_23"
"PDP2"	"30"	"S_31"
"SOX11"	"36"	"S_15"
"FYB"	"80"	"S_29"
"KIF11"	"34"	"S_14"
"UPP2"	"1"	"S_1"
"FAM155A"	"20"	"S_10"
"DUOX2"	"26"	"S_25"
"HPCA"	"36"	"S_15"
"PARVA"	"33"	"S_13"
"SNX29P1"	"15"	"S_8"
"RCOR2"	"1"	"S_1"
"CDC6"	"58"	"S_28"
"HLA-DQA2"	"2"	"S_2"
"NEK2"	"30"	"S_31"
"KMO"	"2"	"S_2"
"SLC14A2"	"30"	"S_31"
"WDR76"	"58"	"S_28"
"KCNJ5"	"30"	"S_31"
"SLC24A4"	"30"	"S_31"
"DLC1"	"33"	"S_13"
"RSPH9"	"26"	"S_25"
"ZNF157"	"1"	"S_1"
"PDZD4"	"6"	"S_5"
"GUCA1B"	"30"	"S_31"
"PCDHB9"	"30"	"S_31"
"GABBR2"	"36"	"S_15"
"SLC9A5"	"1"	"S_1"
"NOL4"	"1"	"S_1"
"FKBP9"	"33"	"S_13"
"GIPC3"	"20"	"S_10"
"RALGPS2"	"15"	"S_8"
"LURAP1"	"30"	"S_31"
"PYY2"	"36"	"S_15"
"SLC16A9"	"36"	"S_15"
"ITGA2B"	"1"	"S_1"
"AGBL1"	"36"	"S_15"
"CLEC2L"	"36"	"S_15"
"FREM1"	"1"	"S_1"
"GKAP1"	"36"	"S_15"
"MTUS2"	"47"	"S_22"
"SEC14L4"	"30"	"S_31"
"ZNF69"	"30"	"S_31"
"TMPRSS7"	"47"	"S_22"
"CEACAM3"	"17"	"S_9"
"CLEC4GP1"	"30"	"S_31"
"CDK2"	"106"	"S_30"
"CALN1"	"30"	"S_31"
"LILRA5"	"17"	"S_9"
"MREG"	"30"	"S_31"
"VSIG8"	"47"	"S_22"
"CDH15"	"36"	"S_15"
"LCNL1"	"26"	"S_25"
"LRRC36"	"26"	"S_25"
"STK31"	"26"	"S_25"
"CDKN2B-AS1"	"30"	"S_31"
"TNR"	"1"	"S_1"
"CEACAM5"	"30"	"S_31"
"LINC00311"	"30"	"S_31"
"SRPK3"	"36"	"S_15"
"CHRNA5"	"30"	"S_31"
"USP54"	"30"	"S_31"
"GREB1"	"30"	"S_31"
"PLXNA4"	"26"	"S_25"
"GPD1"	"47"	"S_22"
"NKPD1"	"30"	"S_31"
"GRM6"	"30"	"S_31"
"SIRPB1"	"17"	"S_9"
"ANXA10"	"47"	"S_22"
"DUSP27"	"65"	"S_23"
"SYT7"	"36"	"S_15"
"SLITRK5"	"1"	"S_1"
"CR1"	"15"	"S_8"
"CECR2"	"36"	"S_15"
"FAM196A"	"26"	"S_25"
"BEST3"	"65"	"S_23"
