Barcode	Donor	Tissue	celltype_sub	Sample	Histology	Tissue_sub
TL-plus-62-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-63-0222	D20170222	Tumor	CD8-C6-GZMK	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-64-0222	D20170222	Tumor	Lymphoid-B	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-65-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-66-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-67-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-68-0222	D20170222	Tumor	CD4-C6-CXCL13	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-69-0222	D20170222	Tumor	CD8-C8-PDCD1	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-70-0222	D20170222	Tumor	CD4-C6-CXCL13	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-7-0222	D20170222	Tumor	CD8-C7-KLRD1	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-71-0222	D20170222	Tumor	NK-C7-CD160	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-72-0222	D20170222	Tumor	CD8-C8-PDCD1	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-73-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-74-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-75-0222	D20170222	Tumor	NK-C4-IFNG-HSPA1A	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-76-0222	D20170222	Tumor	CD8-C8-PDCD1	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-77-0222	D20170222	Tumor	CD8-C8-PDCD1	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-78-0222	D20170222	Tumor	CD8-C8-PDCD1	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-79-0222	D20170222	Tumor	CD4-C5-TCF7	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-80-0222	D20170222	Tumor	CD8-C9-SLC4A10	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-81-0222	D20170222	Tumor	CD4-C6-CXCL13	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-83-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-85-0222	D20170222	Tumor	CD8-C2-MKI67	D20170222-Tumor-CD45+	HCC	TumorEdge
